Device: cuda
Experiment: exp_A_baseline
Config: hidden=256 layers=6 timesteps=1000 epochs=200 opt=adamw geo_w=0.1 lr=0.0001 warmup=5
Parameters: 2.81M
Optimizer: AdamW | lr=0.0001, wd=0.01
Epoch 001/200 | train=1.0472 (mse=0.6700 geo=3.7719) val=0.8634 | lr=2.00e-05
Epoch 002/200 | train=0.8306 (mse=0.5422 geo=2.8837) val=0.7891 | lr=4.00e-05
Epoch 003/200 | train=0.7801 (mse=0.5113 geo=2.6880) val=0.7637 | lr=6.00e-05
Epoch 004/200 | train=0.7534 (mse=0.4915 geo=2.6194) val=0.7398 | lr=8.00e-05
Epoch 005/200 | train=0.7379 (mse=0.4808 geo=2.5709) val=0.7158 | lr=1.00e-04
Epoch 006/200 | train=0.7256 (mse=0.4720 geo=2.5357) val=0.7036 | lr=1.00e-04
Epoch 007/200 | train=0.7133 (mse=0.4623 geo=2.5100) val=0.7218 | lr=1.00e-04
Epoch 008/200 | train=0.7039 (mse=0.4544 geo=2.4956) val=0.6938 | lr=1.00e-04
Epoch 009/200 | train=0.6994 (mse=0.4532 geo=2.4613) val=0.6965 | lr=9.99e-05
Epoch 010/200 | train=0.6935 (mse=0.4494 geo=2.4401) val=0.6857 | lr=9.99e-05
Epoch 011/200 | train=0.6876 (mse=0.4465 geo=2.4107) val=0.6766 | lr=9.98e-05
Epoch 012/200 | train=0.6848 (mse=0.4438 geo=2.4097) val=0.6881 | lr=9.98e-05
Epoch 013/200 | train=0.6810 (mse=0.4414 geo=2.3967) val=0.6795 | lr=9.97e-05
Epoch 014/200 | train=0.6769 (mse=0.4369 geo=2.4002) val=0.6755 | lr=9.96e-05
Epoch 015/200 | train=0.6765 (mse=0.4375 geo=2.3899) val=0.6520 | lr=9.95e-05
Epoch 016/200 | train=0.6728 (mse=0.4358 geo=2.3699) val=0.6607 | lr=9.94e-05
Epoch 017/200 | train=0.6690 (mse=0.4329 geo=2.3615) val=0.6540 | lr=9.92e-05
Epoch 018/200 | train=0.6658 (mse=0.4313 geo=2.3457) val=0.6582 | lr=9.91e-05
Epoch 019/200 | train=0.6622 (mse=0.4289 geo=2.3327) val=0.6545 | lr=9.89e-05
Epoch 020/200 | train=0.6593 (mse=0.4275 geo=2.3186) val=0.6527 | lr=9.87e-05
Epoch 021/200 | train=0.6566 (mse=0.4237 geo=2.3291) val=0.6683 | lr=9.85e-05
Epoch 022/200 | train=0.6522 (mse=0.4234 geo=2.2880) val=0.6354 | lr=9.83e-05
Epoch 023/200 | train=0.6491 (mse=0.4210 geo=2.2806) val=0.6524 | lr=9.81e-05
Epoch 024/200 | train=0.6510 (mse=0.4220 geo=2.2900) val=0.6314 | lr=9.79e-05
Epoch 025/200 | train=0.6450 (mse=0.4180 geo=2.2693) val=0.6283 | lr=9.77e-05
Epoch 026/200 | train=0.6437 (mse=0.4177 geo=2.2598) val=0.6312 | lr=9.74e-05
Epoch 027/200 | train=0.6405 (mse=0.4155 geo=2.2500) val=0.6346 | lr=9.72e-05
Epoch 028/200 | train=0.6375 (mse=0.4125 geo=2.2500) val=0.6259 | lr=9.69e-05
Epoch 029/200 | train=0.6359 (mse=0.4116 geo=2.2428) val=0.6218 | lr=9.66e-05
Epoch 030/200 | train=0.6306 (mse=0.4091 geo=2.2148) val=0.6279 | lr=9.63e-05
Epoch 031/200 | train=0.6290 (mse=0.4082 geo=2.2086) val=0.6185 | lr=9.60e-05
Epoch 032/200 | train=0.6257 (mse=0.4057 geo=2.1994) val=0.6267 | lr=9.57e-05
Epoch 033/200 | train=0.6246 (mse=0.4051 geo=2.1952) val=0.6086 | lr=9.53e-05
Epoch 034/200 | train=0.6208 (mse=0.4017 geo=2.1913) val=0.6080 | lr=9.50e-05
Epoch 035/200 | train=0.6199 (mse=0.4041 geo=2.1589) val=0.6129 | lr=9.46e-05
Epoch 036/200 | train=0.6166 (mse=0.4019 geo=2.1469) val=0.6051 | lr=9.43e-05
Epoch 037/200 | train=0.6151 (mse=0.4004 geo=2.1471) val=0.6135 | lr=9.39e-05
Epoch 038/200 | train=0.6150 (mse=0.3983 geo=2.1676) val=0.6055 | lr=9.35e-05
Epoch 039/200 | train=0.6145 (mse=0.3991 geo=2.1531) val=0.6010 | lr=9.31e-05
Epoch 040/200 | train=0.6124 (mse=0.3989 geo=2.1353) val=0.6063 | lr=9.27e-05
Epoch 041/200 | train=0.6100 (mse=0.3987 geo=2.1131) val=0.6037 | lr=9.23e-05
Epoch 042/200 | train=0.6076 (mse=0.3985 geo=2.0914) val=0.5905 | lr=9.18e-05
Epoch 043/200 | train=0.6037 (mse=0.3955 geo=2.0818) val=0.5945 | lr=9.14e-05
Epoch 044/200 | train=0.6045 (mse=0.3957 geo=2.0874) val=0.5882 | lr=9.09e-05
Epoch 045/200 | train=0.5970 (mse=0.3917 geo=2.0522) val=0.5860 | lr=9.05e-05
Epoch 046/200 | train=0.5991 (mse=0.3928 geo=2.0626) val=0.5809 | lr=9.00e-05
Epoch 047/200 | train=0.6004 (mse=0.3947 geo=2.0574) val=0.6023 | lr=8.95e-05
Epoch 048/200 | train=0.5973 (mse=0.3913 geo=2.0593) val=0.5878 | lr=8.90e-05
Epoch 049/200 | train=0.5985 (mse=0.3926 geo=2.0587) val=0.5879 | lr=8.85e-05
Epoch 050/200 | train=0.5949 (mse=0.3899 geo=2.0500) val=0.5824 | lr=8.80e-05
Epoch 051/200 | train=0.5918 (mse=0.3896 geo=2.0222) val=0.5784 | lr=8.74e-05
Epoch 052/200 | train=0.5931 (mse=0.3906 geo=2.0252) val=0.5817 | lr=8.69e-05
Epoch 053/200 | train=0.5920 (mse=0.3908 geo=2.0121) val=0.5808 | lr=8.63e-05
Epoch 054/200 | train=0.5889 (mse=0.3895 geo=1.9941) val=0.5780 | lr=8.58e-05
Epoch 055/200 | train=0.5893 (mse=0.3893 geo=2.0002) val=0.5748 | lr=8.52e-05
Epoch 056/200 | train=0.5851 (mse=0.3876 geo=1.9758) val=0.5858 | lr=8.46e-05
Epoch 057/200 | train=0.5862 (mse=0.3878 geo=1.9840) val=0.5796 | lr=8.41e-05
